KeyName,LnkName,KeyLastWriteTimestamp
performance moni|7b4ccc410e6c9b2,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Performance Monitor.lnk,2025-07-09 15:50:33
powerpoint.lnk|86cd638959ed7024,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\PowerPoint.lnk,2025-07-09 15:50:37
print management|d62876304a345243,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Print Management.lnk,2025-07-09 15:50:33
psftp.lnk|27451114d1a79246,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\PuTTY (64-bit)\PSFTP.lnk,2025-07-09 15:50:42
publisher.lnk|a259b0c2fd8cb497,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Publisher.lnk,2025-07-09 15:50:37
putty manual.lnk|ad455460f1c2be62,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\PuTTY (64-bit)\PuTTY Manual.lnk,2025-07-09 15:50:46
putty web site.l|b7afcaaa617a0563,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\PuTTY (64-bit)\PuTTY Web Site.lnk,2025-07-09 15:50:48
putty.lnk|e56a023916b7e120,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\PuTTY (64-bit)\PuTTY.lnk,2025-07-09 15:50:49
puttygen.lnk|61fe8850b8c031d6,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\PuTTY (64-bit)\PuTTYgen.lnk,2025-07-09 15:50:49
quick assist.lnk|aec648940984ef2c,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Quick Assist.lnk,2025-07-09 15:50:30
recoverydrive.ln|bd17aaeacd8dade9,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\RecoveryDrive.lnk,2025-07-09 15:50:34
registry editor.|5ddc248726504021,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Registry Editor.lnk,2025-07-09 15:50:34
registry editor.|648b26dcd2c4dd2e,c:\users\client\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\User Pinned\TaskBar\Registry Editor.lnk,2025-07-09 15:51:30
remote desktop c|41f5bddb6f1b946e,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Remote Desktop Connection.lnk,2025-07-09 15:50:30
resource monitor|f0b52ad95c113be1,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Resource Monitor.lnk,2025-07-09 15:50:34
run.lnk|563788821d5b2d36,c:\users\client\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\System Tools\Run.lnk,2025-07-09 15:51:29
security configu|7d509aa7f2a5ffcc,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Security Configuration Management.lnk,2025-07-09 15:50:34
