Processed objects
/Applications/m4c0sRans.app/Contents/MacOS/m4c0sRans,Deleted,Trojan,HEUR:Trojan-Ransom.Python.Encoder.gen,2025-07-14 18:58:14 -03:00
/Applications/payload.app/Contents/MacOS/payload,Deleted,Trojan,HEUR:Trojan-Ransom.Python.Encoder.gen,2025-07-14 18:54:52 -03:00
/Users/developer/Downloads/r4ns0nZZ.exe,Deleted,Trojan,HEUR:Trojan.Win32.Generic,2025-07-14 18:54:28 -03:00
/Volumes/My Shared Files/Home/Downloads/r4ns0nZZ.exe,Deleted,Trojan,HEUR:Trojan.Win32.Generic,2025-07-14 18:32:24 -03:00
/Users/developer/Downloads/sample04v01.py,Deleted,Trojan,HEUR:Trojan-Ransom.Python.Encoder.gen,2025-07-08 10:45:55 -03:00
/Users/developer/Downloads/payload.dmg//disk image (Apple_HFS : 4)/sample03v02//sample03v02,Deleted,Trojan,HEUR:Trojan-Ransom.Python.Encoder.gen,2025-07-08 10:45:55 -03:00
/Users/developer/Downloads/payload.dmg,Deleted,Not infected,,2025-07-08 10:45:55 -03:00
/Users/developer/sample04v02.py,Deleted,Trojan,HEUR:Trojan-Ransom.Python.Encoder.gen,2025-07-08 10:45:45 -03:00
/Users/developer/encoded_payload.py//data0000.bin,Deleted,Trojan,HEUR:Trojan-Ransom.Python.Encoder.gen,2025-07-08 10:45:45 -03:00
/Users/developer/encoded_payload.py,Deleted,Not infected,,2025-07-08 10:45:45 -03:00
/Users/developer/sample04v01.py,Deleted,Trojan,HEUR:Trojan-Ransom.Python.Encoder.gen,2025-07-08 10:45:45 -03:00
/Users/developer/sample03v02.py,Deleted,Trojan,HEUR:Trojan-Ransom.Python.Encoder.gen,2025-07-08 10:45:45 -03:00
/Users/developer/dist/encoded_payload.app/Contents/MacOS/encoded_payload,Deleted,Trojan,HEUR:Trojan-Ransom.Python.Encoder.gen,2025-07-08 09:28:55 -03:00
/Users/developer/dist/encoded_payload,Deleted,Trojan,HEUR:Trojan-Ransom.Python.Encoder.gen,2025-07-08 09:28:55 -03:00
/Users/developer/build/encoded_payload/encoded_payload.pkg,Deleted,Trojan,HEUR:Trojan-Ransom.Python.Encoder.gen,2025-07-08 09:28:54 -03:00
/Users/developer/dist/encoded_payload/encoded_payload,Deleted,Trojan,HEUR:Trojan-Ransom.Python.Encoder.gen,2025-07-08 09:28:10 -03:00
/Users/developer/build/encoded_payload/encoded_payload,Deleted,Trojan,HEUR:Trojan-Ransom.Python.Encoder.gen,2025-07-08 09:28:10 -03:00
https://chatgpt.com/backend-anon/conversation,Detected,Trojan,HEUR:Trojan-Ransom.Python.Encoder.gen,2025-07-08 07:45:43 -03:00
https://grok.com/rest/app-chat/conversations/new,Detected,Trojan,HEUR:Trojan-Ransom.Python.Encoder.gen,2025-07-08 07:16:18 -03:00
/Applications/sample03v02.app/Contents/MacOS/sample03v02,Deleted,Trojan,HEUR:Trojan-Ransom.Python.Encoder.gen,2025-07-07 23:16:43 -03:00
/Volumes/My Shared Files/Home/Downloads/Archive0505/malware03.app/Contents/MacOS/malware03,Deleted,Trojan,HEUR:Trojan-Ransom.Python.Encoder.gen,2025-07-07 23:14:33 -03:00
/Users/developer/Downloads/sample03v02.app/Contents/MacOS/sample03v02,Deleted,Trojan,HEUR:Trojan-Ransom.Python.Encoder.gen,2025-07-07 23:13:18 -03:00
/Volumes/My Shared Files/Home/Downloads/sample03v02.app/Contents/MacOS/sample03v02,Deleted,Trojan,HEUR:Trojan-Ransom.Python.Encoder.gen,2025-07-07 23:13:17 -03:00
