USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         160  0.0  0.0      0     0 ?        S    09:30   0:00  \_ [scsi_eh_0]
root         161  0.0  0.0      0     0 ?        I<   09:30   0:00  \_ [scsi_tmf_0]
root         162  0.0  0.0      0     0 ?        S    09:30   0:00  \_ [scsi_eh_1]
root         163  0.0  0.0      0     0 ?        I<   09:30   0:00  \_ [scsi_tmf_1]
root         165  0.0  0.0      0     0 ?        S    09:30   0:00  \_ [scsi_eh_2]
root         166  0.0  0.0      0     0 ?        I<   09:30   0:00  \_ [scsi_tmf_2]
root         167  0.0  0.0      0     0 ?        S    09:30   0:00  \_ [scsi_eh_3]
root         168  0.0  0.0      0     0 ?        I<   09:30   0:00  \_ [scsi_tmf_3]
root         169  0.0  0.0      0     0 ?        S    09:30   0:00  \_ [scsi_eh_4]
root         170  0.0  0.0      0     0 ?        I<   09:30   0:00  \_ [scsi_tmf_4]
root         171  0.0  0.0      0     0 ?        S    09:30   0:00  \_ [scsi_eh_5]
root         172  0.0  0.0      0     0 ?        I<   09:30   0:00  \_ [scsi_tmf_5]
root         173  0.0  0.0      0     0 ?        S    09:30   0:00  \_ [scsi_eh_6]
root         174  0.0  0.0      0     0 ?        I<   09:30   0:00  \_ [scsi_tmf_6]
root         175  0.0  0.0      0     0 ?        S    09:30   0:00  \_ [scsi_eh_7]
root         176  0.0  0.0      0     0 ?        I<   09:30   0:00  \_ [scsi_tmf_7]
root         177  0.0  0.0      0     0 ?        S    09:30   0:00  \_ [scsi_eh_8]
root         178  0.0  0.0      0     0 ?        I<   09:30   0:00  \_ [scsi_tmf_8]
root         179  0.0  0.0      0     0 ?        S    09:30   0:00  \_ [scsi_eh_9]
root         180  0.0  0.0      0     0 ?        I<   09:30   0:00  \_ [scsi_tmf_9]
root         181  0.0  0.0      0     0 ?        S    09:30   0:00  \_ [scsi_eh_10]
root         182  0.0  0.0      0     0 ?        I<   09:30   0:00  \_ [scsi_tmf_10]
root         183  0.0  0.0      0     0 ?        S    09:30   0:00  \_ [scsi_eh_11]
root         184  0.0  0.0      0     0 ?        I<   09:30   0:00  \_ [scsi_tmf_11]
root         185  0.0  0.0      0     0 ?        S    09:30   0:00  \_ [scsi_eh_12]
root         186  0.0  0.0      0     0 ?        I<   09:30   0:00  \_ [scsi_tmf_12]
root         187  0.0  0.0      0     0 ?        S    09:30   0:00  \_ [scsi_eh_13]
root         188  0.0  0.0      0     0 ?        I<   09:30   0:00  \_ [scsi_tmf_13]
root         189  0.0  0.0      0     0 ?        S    09:30   0:00  \_ [scsi_eh_14]
root         190  0.0  0.0      0     0 ?        I<   09:30   0:00  \_ [scsi_tmf_14]
root         191  0.0  0.0      0     0 ?        S    09:30   0:00  \_ [scsi_eh_15]
root         192  0.0  0.0      0     0 ?        I<   09:30   0:00  \_ [scsi_tmf_15]
root         193  0.0  0.0      0     0 ?        S    09:30   0:00  \_ [scsi_eh_16]
root         194  0.0  0.0      0     0 ?        I<   09:30   0:00  \_ [scsi_tmf_16]
