USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
root               714   0.0  0.0 426884800   1984   ??  Ss    8:00PM   0:00.04 /System/Library/PrivateFrameworks/CoreSymbolication.framework/coresymbolicationd
root               711   0.0  0.0 426883760   2112   ??  Ss    8:00PM   0:00.04 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted_helper
_assetcache        706   0.0  0.1 426919536   4768   ??  Ss    8:00PM   0:00.10 /System/Library/PrivateFrameworks/AssetCacheServices.framework/Versions/A/XPCServices/AssetCacheLocatorService.xpc/Contents/MacOS/AssetCacheLocatorService -d
developer          705   0.0  0.1 426917136   5456   ??  S     8:00PM   0:00.11 /System/Library/PrivateFrameworks/ModelCatalogRuntime.framework/Versions/A/ModelCatalogAgent
_gamecontrollerd   702   0.0  0.0 426883728   1792   ??  S     8:00PM   0:00.10 /usr/sbin/distnoted agent
root               697   0.0  0.1 411181360   4288   ??  Ss    8:00PM   0:00.11 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
root               698   0.0  0.1 411181696   4544   ??  Ss    8:00PM   0:00.12 /System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A/XPCServices/XProtectBridgeService.xpc/Contents/MacOS/XProtectBridgeService
developer          695   0.0  0.1 426922752   6160   ??  S     8:00PM   0:00.07 /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistorySyncHelper
developer          671   0.0  0.1 427032624   9152   ??  S     8:00PM   0:00.42 /System/Library/Frameworks/CoreSpotlight.framework/spotlightknowledged -u
root               674   0.0  0.0 426883200   2400   ??  Ss    8:00PM   0:00.01 /System/Library/CoreServices/CrashReporterSupportHelper server-init
root               668   0.0  0.0 410754128   1856   ??  Ss    8:00PM   0:00.03 /usr/libexec/online-auth-agent
developer          660   0.0  0.2 426927184  11280   ??  S     8:00PM   0:01.45 /usr/libexec/swcd
developer          652   0.0  0.1 426917488   5952   ??  S     8:00PM   0:00.07 /System/Library/PrivateFrameworks/LockdownMode.framework/Versions/A/XPCServices/lockdownmoded
root               647   0.0  0.0 426883296   2976   ??  Ss    8:00PM   0:00.07 /System/Library/CoreServices/SubmitDiagInfo server-init
developer          636   0.0  0.0 426918016   2976   ??  S     8:00PM   0:00.49 /Library/Apple/System/Library/CoreServices/XProtect.app/Contents/XPCServices/XProtectPluginService.xpc/Contents/MacOS/XProtectPluginService
_applepay          649   0.0  0.1 426885872   4032   ??  Ss    8:00PM   0:00.12 /usr/libexec/nfcd
developer          645   0.0  0.1 426937632   5984   ??  S     8:00PM   0:00.63 /System/Library/PrivateFrameworks/SafariSafeBrowsing.framework/com.apple.Safari.SafeBrowsing.Service
developer          640   0.0  0.2 426926688  14448   ??  S     8:00PM   0:00.63 /System/Library/PrivateFrameworks/PassKitCore.framework/passd
developer          637   0.0  0.1 426917392   7072   ??  S     8:00PM   0:00.09 /usr/libexec/inputanalyticsd
developer          629   0.0  0.1 426918048   5728   ??  S     8:00PM   0:00.11 /System/Cryptexes/App/usr/libexec/PasswordBreachAgent
developer          631   0.0  0.1 426917792   7936   ??  S     8:00PM   0:00.33 /System/Library/PrivateFrameworks/Synapse.framework/Support/contentlinkingd
developer          628   0.0  0.1 426916864   6144   ??  S     8:00PM   0:00.88 /System/Library/Frameworks/Translation.framework/translationd
developer          625   0.0  0.2 427082880  11488   ??  S     8:00PM   0:00.36 /System/Cryptexes/App/System/Library/CoreServices/SafariSupport.bundle/Contents/MacOS/SafariBookmarksSyncAgent
developer          623   0.0  0.0 426883776   2960   ??  S     8:00PM   0:00.07 /System/Library/Frameworks/MediaAccessibility.framework/Versions/A/XPCServices/com.apple.accessibility.mediaaccessibilityd.xpc/Contents/MacOS/com.apple.accessibility.mediaaccessibilityd
root               622   0.0  0.0 426891984   2032   ??  Ss    8:00PM   0:00.04 /System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/CVMServer
developer          619   0.0  0.1 426917040   6448   ??  S     8:00PM   0:00.13 /System/Cryptexes/App/usr/libexec/SafariNotificationAgent
developer          617   0.0  0.1 427081552   8896   ??  S     8:00PM   0:00.21 /System/Cryptexes/App/usr/libexec/com.apple.Safari.History
root               615   0.0  0.1 410885776   5152   ??  Ss    8:00PM   0:00.13 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
developer          573   0.0  0.1 426920496   5024   ??  S     7:59PM   0:00.12 /System/Library/PrivateFrameworks/CoreParsec.framework/parsec-fbf
developer          518   0.0  0.1 426919040   7392   ??  S     7:59PM   0:00.30 /System/Library/CoreServices/diagnostics_agent
developer          504   0.0  0.1 426919200   7120   ??  S     7:59PM   0:01.70 /System/Library/PrivateFrameworks/AXAssetLoader.framework/Support/axassetsd
developer          605   0.0  0.1 411180512   4112   ??  Ss    8:00PM   0:00.04 /System/Library/PrivateFrameworks/AppleVirtualPlatform.framework/Versions/A/XPCServices/AppleVirtualPlatformIdentityService.xpc/Contents/MacOS/com.apple.Virtualization.AppleVirtualPlatformIdentity
root               607   0.0  0.1 411208592   3472   ??  Ss    8:00PM   0:00.18 /Applications/OneDrive.app/Contents/StandaloneUpdaterDaemon.xpc/Contents/MacOS/StandaloneUpdaterDaemon
_fpsd              599   0.0  0.0 426887120   1984   ??  Ss    8:00PM   0:00.04 /System/Library/PrivateFrameworks/CoreADI.framework/adid
developer          595   0.0  0.1 426918352   6592   ??  S     8:00PM   0:00.11 /System/Library/PrivateFrameworks/NewsDaemon.framework/newsd
developer          587   0.0  0.1 426919008   6992   ??  SN    7:59PM   0:01.63 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdbulkimport -s mdworker-bundle -c MDSImporterBundleFinder -m com.apple.metadata.mdbulkimport
developer          580   0.0  0.3 427107152  16624   ??  Ss    7:59PM   0:00.65 /System/Applications/Stocks.app/Contents/PlugIns/StocksWidget.appex/Contents/MacOS/StocksWidget
developer          579   0.0  0.2 427013104  15568   ??  Ss    7:59PM   0:00.69 /System/Applications/News.app/Contents/PlugIns/NewsToday2.appex/Contents/MacOS/NewsToday2
developer          578   0.0  0.4 427211040  25088   ??  Ss    7:59PM   0:02.87 /System/Applications/Weather.app/Contents/PlugIns/WeatherWidget.appex/Contents/MacOS/WeatherWidget
developer          577   0.0  0.1 426969648   9152   ??  Ss    7:59PM   0:00.32 /System/Applications/Calendar.app/Contents/PlugIns/CalendarWidgetExtension.appex/Contents/MacOS/CalendarWidgetExtension
developer          576   0.0  0.2 426954384  15312   ??  Ss    7:59PM   0:02.54 /System/Applications/Clock.app/Contents/PlugIns/WorldClockWidget.appex/Contents/MacOS/WorldClockWidget
developer          572   0.0  0.1 426928752   8864   ??  S     7:59PM   0:00.91 /usr/libexec/networkserviceproxy
developer          571   0.0  0.1 426919616   7600   ??  S     7:59PM   0:00.22 /System/Library/PrivateFrameworks/iTunesCloud.framework/Support/itunescloudd
root               568   0.0  0.1 426916960   3712   ??  Ss    7:59PM   0:00.05 /System/Library/CoreServices/osanalyticshelper server-init
developer          565   0.0  0.1 426885424   5056   ??  S     7:59PM   0:00.06 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/commerce
developer          564   0.0  0.1 427025664   6528   ??  S     7:59PM   0:00.30 /System/Library/PrivateFrameworks/ContextKit.framework/Versions/A/XPCServices/ContextService.xpc/Contents/MacOS/ContextService
developer          563   0.0  0.1 410858720   7424   ??  Ss    7:59PM   0:01.44 /System/Library/ExtensionKit/Extensions/WallpaperVideoExtension.appex/Contents/MacOS/WallpaperVideoExtension
developer          561   0.0  0.1 427101088   5984   ??  Ss    7:59PM   0:00.09 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
developer          560   0.0  0.1 426938608   8432   ??  S     7:59PM   0:00.74 /usr/libexec/linkd
developer          559   0.0  0.2 426928672  10704   ??  S     7:59PM   0:00.66 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistantd
developer          558   0.0  0.1 426924480   8752   ??  S     7:59PM   0:01.81 /System/Library/PrivateFrameworks/CoreParsec.framework/parsecd
developer          557   0.0  0.1 426920768   7776   ??  S     7:59PM   0:00.21 /usr/libexec/adprivacyd
developer          555   0.0  0.1 426917104   6336   ??  S     7:59PM   0:00.11 /System/Library/PrivateFrameworks/iCloudNotification.framework/iCloudNotificationAgent
developer          553   0.0  0.1 426921088   7568   ??  S     7:59PM   0:00.30 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
developer          540   0.0  0.1 426945808   8976   ??  S     7:59PM   0:01.07 /usr/libexec/searchpartyuseragent
developer          552   0.0  0.1 426947504   5904   ??  Ss    7:59PM   0:01.04 /System/Library/Frameworks/Speech.framework/Versions/A/XPCServices/localspeechrecognition.xpc/Contents/MacOS/localspeechrecognition
developer          551   0.0  0.1 426923424   6912   ??  S     7:59PM   0:00.17 /System/Library/PrivateFrameworks/IMDPersistence.framework/XPCServices/IMDPersistenceAgent.xpc/Contents/MacOS/IMDPersistenceAgent
developer          546   0.0  0.2 410699184  11984   ??  S     7:59PM   0:01.40 /System/Library/PrivateFrameworks/SiriInference.framework/Versions/A/siriinferenced
developer          544   0.0  0.1 426897456   8160   ??  S     7:59PM   0:00.17 /usr/libexec/avconferenced
developer          542   0.0  0.0 426879088   2720   ??  S     7:59PM   0:00.02 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoteagent
developer          539   0.0  0.2 426954160  10208   ??  S     7:59PM   0:00.79 /System/Library/PrivateFrameworks/HomeKitDaemon.framework/Support/homed
developer          538   0.0  0.1 426917744   5856   ??  S     7:59PM   0:00.11 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
developer          535   0.0  0.3 410926160  16592   ??  S     7:59PM   0:00.63 /System/Library/CoreServices/UIKitSystem.app/Contents/MacOS/UIKitSystem system_app_start
developer          533   0.0  0.1 411181376   3728   ??  Ss    7:59PM   0:00.10 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
developer          531   0.0  0.1 426885648   8016   ??  S     7:59PM   0:00.34 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
developer          532   0.0  0.2 410846448  14720   ??  Ss    7:59PM   0:01.49 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.extra.xpc/Contents/MacOS/com.apple.dock.extra
developer          530   0.0  0.1 426926992   6496   ??  S     7:59PM   0:00.10 /System/Library/CoreServices/pbs
developer          529   0.0  0.2 410827600  14464   ??  S     7:59PM   0:01.55 /System/Library/PrivateFrameworks/TextInputUIMacHelper.framework/Versions/A/XPCServices/CursorUIViewService.xpc/Contents/MacOS/CursorUIViewService
developer          528   0.0  0.7 412137728  46432   ??  S     7:59PM   0:13.15 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
developer          527   0.0  0.3 428614320  16032   ??  S     7:59PM   0:01.76 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
developer          506   0.0  0.2 411259104  10912   ??  S     7:59PM   0:01.12 /Library/Sophos Anti-Virus/SophosUserAgent.app/Contents/MacOS/SophosUserAgent
developer          526   0.0  0.1 426922544   5856   ??  S     7:59PM   0:00.14 /System/Library/PrivateFrameworks/StatusKit.framework/StatusKitAgent
developer          517   0.0  0.1 410812672   8272   ??  S     7:59PM   0:00.97 /Library/Parallels Guest Tools/prlcopypaste
developer          525   0.0  0.1 426883904   5504   ??  S     7:59PM   0:00.05 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp
developer          501   0.0  0.2 426925520  13536   ??  S     7:59PM   0:00.50 /System/Library/PrivateFrameworks/HearingCore.framework/heard
developer          502   0.0  0.1 426949760   8672   ??  S     7:59PM   0:00.36 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd
developer          521   0.0  0.1 411229584   5024   ??  S     7:59PM   0:00.25 /Library/Sophos Encryption/Sophos Encryption Agent.app/Contents/MacOS/Sophos Encryption Agent
developer          516   0.0  0.1 426924752   9408   ??  S     7:59PM   0:00.54 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
developer          514   0.0  0.2 426937232  11344   ??  S     7:59PM   0:00.79 /usr/libexec/sharingd
developer          510   0.0  0.1 426917360   3280   ??  S     7:59PM   0:00.06 /System/Library/Image Capture/Support/icdd
developer          508   0.0  0.1 410657024   5040   ??  S     7:59PM   0:00.04 /System/Library/Frameworks/InputMethodKit.framework/Resources/imklaunchagent
developer          519   0.0  0.3 411385040  17584   ??  S     7:59PM   0:00.34 /System/Library/CoreServices/TextInputMenuAgent.app/Contents/MacOS/TextInputMenuAgent
developer          515   0.0  0.1 410812064   8016   ??  S     7:59PM   0:00.16 /System/Library/CoreServices/AirPlayUIAgent.app/Contents/MacOS/AirPlayUIAgent --launchd
developer          498   0.0  0.1 426919712   7536   ??  S     7:59PM   0:00.21 /System/Library/PrivateFrameworks/UsageTracking.framework/Versions/A/UsageTrackingAgent
developer          497   0.0  0.1 426920176   7184   ??  S     7:59PM   0:00.49 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
developer          496   0.0  0.1 426922400   6336   ??  S     7:59PM   0:00.62 /System/Library/Frameworks/Contacts.framework/Support/contactsd
root               495   0.0  0.1 426931968   9136   ??  Ss    7:59PM   0:01.23 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd --system
developer          490   0.0  0.1 426929184   7088   ??  S     7:59PM   0:00.35 /usr/libexec/transparencyd
developer          491   0.0  0.1 426917472   5456   ??  S     7:59PM   0:00.09 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -tw
developer          489   0.0  0.1 426883184   4608   ??  S     7:59PM   0:00.10 /System/Library/PrivateFrameworks/CoreCDP.framework/Versions/A/Resources/cdpd
developer          488   0.0  0.1 426918448   6944   ??  S     7:59PM   0:01.05 /usr/libexec/triald
developer          486   0.0  0.1 426940656   5424   ??  S     7:59PM   0:00.56 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker
developer          487   0.0  0.2 426938592  11872   ??  S     7:59PM   0:01.60 /System/Library/PrivateFrameworks/ChronoCore.framework/Support/chronod
developer          484   0.0  0.1 426917008   6176   ??  S     7:59PM   0:00.28 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar
developer          481   0.0  0.1 426925952   7552   ??  S     7:59PM   0:00.23 /usr/libexec/findmylocateagent
developer          480   0.0  0.2 426920400  10032   ??  S     7:59PM   0:00.22 /System/Library/CoreServices/audioaccessoryd
developer          479   0.0  0.1 426921808   8368   ??  S     7:59PM   0:00.16 /usr/libexec/intelligentroutingd
developer          477   0.0  0.2 426917728   9744   ??  S     7:59PM   0:00.16 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
_nearbyd           478   0.0  0.1 426929072   6656   ??  Ss    7:59PM   0:00.25 /usr/libexec/nearbyd
root               476   0.0  0.1 426917568   3760   ??  Ss    7:59PM   0:00.04 /System/Library/PrivateFrameworks/WirelessDiagnostics.framework/Support/awdd
root               473   0.0  0.1 426889872   4496   ??  Ss    7:59PM   0:00.06 /usr/libexec/wifip2pd
root               472   0.0  0.1 426917824   3472   ??  Ss    7:59PM   0:00.07 /usr/libexec/mobileactivationd
developer          471   0.0  0.2 410299408  10016   ??  S     7:59PM   0:00.44 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
developer          470   0.0  0.1 426918400   6608   ??  S     7:59PM   0:00.81 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted
developer          468   0.0  0.3 427098160  17392   ??  S     7:59PM   0:00.76 /System/Library/CoreServices/iconservicesagent
developer          464   0.0  0.2 426919648  12976   ??  S     7:59PM   0:02.52 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/BiomeAgent
developer          462   0.0  0.1 426924432   8496   ??  S     7:59PM   0:00.44 /System/Library/PrivateFrameworks/CalendarDaemon.framework/Support/calaccessd
developer          461   0.0  0.3 427015648  16576   ??  S     7:59PM   0:01.95 /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd
developer          459   0.0  0.1 426919184   6256   ??  S     7:59PM   0:03.92 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
developer          458   0.0  0.1 426926448   6928   ??  S     7:59PM   0:00.22 /usr/libexec/neagent
developer          457   0.0  0.1 426918128   8464   ??  S     7:59PM   0:00.25 /System/Library/PrivateFrameworks/iCloudDriveCore.framework/Versions/A/Support/bird
developer          456   0.0  0.2 426930032  11744   ??  S     7:59PM   0:01.21 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
developer          455   0.0  0.2 426923808  11200   ??  S     7:59PM   0:00.58 /System/Library/PrivateFrameworks/SyncedDefaults.framework/Support/syncdefaultsd
developer          454   0.0  0.2 426935216  13152   ??  S     7:59PM   0:00.88 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
developer          453   0.0  0.2 426940352  10272   ??  S     7:59PM   0:01.10 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
developer          452   0.0  0.5 411422864  28400   ??  S     7:59PM   0:02.62 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
developer          451   0.0  0.1 426921664   8416   ??  S     7:59PM   0:00.45 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
developer          449   0.0  0.1 426923872   8064   ??  S     7:59PM   0:00.35 /System/Library/PrivateFrameworks/DoNotDisturbServer.framework/Support/donotdisturbd
developer          448   0.0  0.1 426923728   9296   ??  S     7:59PM   0:04.86 /usr/libexec/trustd --agent
developer          447   0.0  0.1 426929104   5056   ??  S     7:59PM   0:00.12 /System/Library/PrivateFrameworks/AMPDevices.framework/Versions/A/Support/AMPDeviceDiscoveryAgent --launchd
developer          446   0.0  0.2 426928896  10240   ??  S     7:59PM   0:01.53 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
developer          445   0.0  0.1 426917392   7648   ??  S     7:59PM   0:00.97 /usr/libexec/pkd
developer          443   0.0  0.1 426918112   8368   ??  S     7:59PM   0:00.26 /System/Library/PrivateFrameworks/UserNotificationsCore.framework/Support/usernotificationsd
developer          442   0.0  0.1 426927680   6144   ??  S     7:59PM   0:00.36 /usr/libexec/secinitd
developer          441   0.0  0.1 426919104   7232   ??  S     7:59PM   0:00.17 /System/Library/CoreServices/sharedfilelistd
root               440   0.0  0.0 426884976   1664   ??  Ss    7:59PM   0:00.02 automountd
developer          439   0.0  0.2 426939136  10416   ??  S     7:59PM   0:01.05 /System/Library/PrivateFrameworks/VoiceShortcuts.framework/Versions/A/Support/siriactionsd
developer          438   0.0  0.2 427077104   9920   ??  S     7:59PM   0:00.22 /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLocationAgent
root               437   0.0  0.1 426895888   9312   ??  Ss    7:59PM   0:00.33 /usr/sbin/filecoordinationd
developer          434   0.0  0.1 426923344   6608   ??  S     7:59PM   0:00.28 /usr/libexec/dmd
developer          436   0.0  0.2 427457792  14080   ??  S     7:59PM   0:01.15 /System/Library/Frameworks/QuickLookThumbnailing.framework/Support/com.apple.quicklook.ThumbnailsAgent
developer          435   0.0  0.2 426902416  10992   ??  Ss    7:59PM   0:00.27 /System/Library/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
developer          433   0.0  0.1 426924208   7936   ??  S     7:59PM   0:02.96 /System/Library/PrivateFrameworks/MediaAnalysis.framework/Versions/A/mediaanalysisd
developer          431   0.0  0.2 410964960  15136   ??  S     7:59PM   0:00.61 /System/Library/CoreServices/WallpaperAgent.app/Contents/MacOS/WallpaperAgent
_appleevents       430   0.0  0.0 426883728   1808   ??  S     7:59PM   0:00.11 /usr/sbin/distnoted agent
developer          429   0.0  0.1 426884432   3744   ??  S     7:59PM   0:00.13 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
developer          428   0.0  0.2 426922464  10608   ??  S     7:59PM   0:00.66 /usr/libexec/secd
developer          427   0.0  0.2 426926560  14416   ??  S     7:59PM   0:00.53 /usr/libexec/knowledge-agent
developer          426   0.0  0.3 426937104  18832   ??  S     7:59PM   0:01.48 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/ContextStoreAgent
developer          421   0.0  0.2 426920448  10048   ??  S     7:59PM   0:00.80 /usr/sbin/usernoted
developer          420   0.0  0.1 426922336   9264   ??  S     7:59PM   0:00.42 /usr/libexec/nsurlsessiond
developer          419   0.0  0.1 426916368   6496   ??  S     7:59PM   0:00.89 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
developer          418   0.0  0.2 426918960   9872   ??  S     7:59PM   0:00.12 /usr/libexec/ContinuityCaptureAgent server
developer          417   0.0  0.1 426923984   8208   ??  S     7:59PM   0:00.50 /usr/libexec/routined LAUNCHED_BY_LAUNCHD
developer          414   0.0  0.2 426925072  10432   ??  S     7:59PM   0:00.61 /usr/libexec/rapportd
developer          412   0.0  0.1 411215328   9296   ??  S     7:59PM   0:01.04 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
developer          410   0.0  0.4 411280608  25664   ??  S     7:59PM   0:02.26 /System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter
developer          409   0.0  0.0 426883760   3056   ??  S     7:59PM   0:00.02 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/CarbonCore.framework/Versions/A/XPCServices/csnameddatad.xpc/Contents/MacOS/csnameddatad
developer          407   0.0  0.2 426934784  11632   ??  S     7:59PM   0:00.75 /System/Library/CoreServices/talagentd
developer          408   0.0  0.4 411233328  22704   ??  S     7:59PM   0:03.56 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
developer          404   0.0  0.2 426929200  11072   ??  S     7:59PM   0:01.12 /usr/libexec/lsd
developer          403   0.0  0.1 426895104   8576   ??  S     7:59PM   0:00.19 /usr/libexec/pboard
developer          397   0.0  0.2 426919872   9984   ??  S     7:59PM   0:00.81 /usr/libexec/UserEventAgent (Aqua)
developer          401   0.0  0.3 411392768  19664   ??  S     7:59PM   0:00.96 /System/Library/CoreServices/CoreServicesUIAgent.app/Contents/MacOS/CoreServicesUIAgent
developer          402   0.0  0.2 410806080   9968   ??  S     7:59PM   0:00.37 /usr/sbin/universalaccessd launchd -s
developer          395   0.0  0.1 426883728   4544   ??  S     7:59PM   0:01.23 /usr/sbin/distnoted agent
_netbios           388   0.0  0.0 426884160   2160   ??  SNs   7:59PM   0:00.06 /usr/sbin/netbiosd
root               386   0.0  0.1 426917472   4432   ??  Ss    7:59PM   0:00.03 /System/Library/PrivateFrameworks/AmbientDisplay.framework/Versions/A/XPCServices/com.apple.AmbientDisplayAgent.xpc/Contents/MacOS/com.apple.AmbientDisplayAgent
_sophos            384   0.0  0.1 411049936   6800   ??  Ss    7:59PM   0:00.35 SophosHealthD
root               383   0.0  0.1 410920880   3600   ??  Ss    7:59PM   0:00.07 SophosCleanD
_sophos            380   0.0  0.1 411182368   6960   ??  Ss    7:59PM   0:00.43 Sophos Network Extension
_sophos            378   0.0  0.1 410800896   9216   ??  Ss    7:59PM   0:15.27 SophosWebIntelligence
root               375   0.0  0.1 411194320   3920   ??  SN    7:59PM   0:00.22 /Library/Sophos Live Query/SophosOSQuery --flagfile /Library/Application Support/Sophos LiveQuery/osquery.flags --D
root               374   0.0  0.1 411051552   6288   ??  Ss    7:59PM   0:00.30 SophosLiveQuery
root               373   0.0  0.1 411181488   3984   ??  Ss    7:59PM   0:00.43 SophosEncryptionD
root               372   0.0  0.1 411191808   7824   ??  Ss    7:59PM   0:08.86 SophosUpdater
root               371   0.0  0.1 411190432   9120   ??  Ss    7:59PM   0:01.26 SophosAntiVirus -d
_sophosencryption   370   0.0  0.1 411049728   5968   ??  Ss    7:59PM   0:00.14 SophosEncryptionCentralAdapter
_nsurlsessiond     369   0.0  0.0 426883728   1808   ??  S     7:59PM   0:00.11 /usr/sbin/distnoted agent
root               367   0.0  0.1 426920096   4864   ??  S     7:59PM   0:00.07 /usr/sbin/systemstats --logger-helper /private/var/db/systemstats
_accessoryupdater   361   0.0  0.0 426883728   1792   ??  S     7:59PM   0:00.11 /usr/sbin/distnoted agent
root               358   0.0  0.2 426929584  11216   ??  Ss    7:59PM   0:01.36 /usr/libexec/gamepolicyd
root               356   0.0  0.1 411188976   9408   ??  Ss    7:59PM   0:02.91 SophosConfigD
_spotlight         348   0.0  0.0 426883728   1808   ??  S     7:59PM   0:00.12 /usr/sbin/distnoted agent
root               345   0.0  0.1 426921392   3664   ??  Ss    7:59PM   0:00.09 /usr/libexec/symptomsd-diag
_ctkd              338   0.0  0.0 426883904   2544   ??  Ss    7:59PM   0:00.05 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -st
root               334   0.0  0.0 426883312   2896   ??  Ss    7:59PM   0:00.05 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp -d
root               329   0.0  0.1 426917984   5984   ??  Ss    7:59PM   0:00.07 /usr/libexec/biometrickitd --launchd
root               328   0.0  0.2 426928720  13136   ??  Ss    7:59PM   0:00.30 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
root               263   0.0  0.0 426879696   1760   ??  Ss    7:59PM   0:00.02 /System/Library/CoreServices/liquiddetectiond.app/liquiddetectiond
root               276   0.0  0.1 426883312   3616   ??  Ss    7:59PM   0:00.07 /System/Library/CoreServices/TimeMachine/backupd-helper -launchd
root               325   0.0  0.1 426942608   7392   ??  Ss    7:59PM   0:00.60 /usr/libexec/searchpartyd
_avphidbridge      324   0.0  0.1 426883856   3376   ??  Ss    7:59PM   0:04.08 /usr/libexec/AppleVirtualPlatformHIDBridge
_locationd         320   0.0  0.0 426916368   2752   ??  S     7:59PM   0:00.05 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
_locationd         319   0.0  0.1 426919936   4432   ??  S     7:59PM   0:00.11 /usr/libexec/trustd --agent
root               317   0.0  0.1 426916688   4224   ??  Ss    7:59PM   0:00.06 /usr/libexec/ApplicationFirewall/socketfilterfw
_locationd         316   0.0  0.0 426883744   1808   ??  S     7:59PM   0:00.05 /usr/sbin/cfprefsd agent
_locationd         312   0.0  0.0 426883728   1808   ??  S     7:59PM   0:00.12 /usr/sbin/distnoted agent
_locationd         313   0.0  0.1 426920992   6624   ??  S     7:59PM   0:00.29 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
_softwareupdate    307   0.0  0.0 426883728   1792   ??  S     7:59PM   0:00.12 /usr/sbin/distnoted agent
root               306   0.0  0.0 426880576   3024   ??  Ss    7:59PM   0:00.03 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
root               288   0.0  0.0 410621040   1424   ??  Ss    7:59PM   0:00.01 /Library/Parallels Guest Tools/prltoolsd
