USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
root               286   0.3  0.2 411641456  11120   ??  Ss    7:59PM   0:11.07 /Library/Sophos Anti-Virus/SophosServiceManager.app/Contents/MacOS/SophosServiceManager
root               140   0.3  0.2 426924608  12976   ??  Ss    7:59PM   0:03.40 /usr/libexec/dasd
root               152   0.3  0.0 426883424   2960   ??  Ss    7:59PM   0:01.71 /usr/sbin/notifyd
developer          413   0.2  1.3 411661088  84624   ??  S     7:59PM   0:16.17 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
root               166   0.2  0.1 426904880   4256   ??  Ss    7:59PM   0:00.29 /System/Library/CoreServices/coreservicesd
_distnote          142   0.1  0.1 426883728   3728   ??  Ss    7:59PM   0:01.18 /usr/sbin/distnoted daemon
root               119   0.1  0.1 426917280   6032   ??  Ss    7:59PM   0:01.18 /usr/libexec/diskarbitrationd
developer          406   0.1  0.3 411221536  20096   ??  S     7:59PM   0:05.14 /System/Library/CoreServices/WindowManager.app/Contents/MacOS/WindowManager
root                90   0.1  0.1 426926480   8128   ??  Ss    7:59PM   0:00.88 /usr/libexec/UserEventAgent (System)
developer         1551   0.1  0.0 411015616   2752 s000  S     8:21PM   0:00.08 -zsh
developer         1306   0.0  0.2 426935872  10800   ??  S     8:10PM   0:00.25 /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
developer         1305   0.0  0.3 426964432  17168   ??  Ss    8:10PM   0:00.43 /System/Library/ExtensionKit/Extensions/DefaultExtensionEnablement.appex/Contents/MacOS/DefaultExtensionEnablement
developer         1304   0.0  0.2 426953952  11728   ??  Ss    8:10PM   0:00.17 /System/Library/ExtensionKit/Extensions/LegacyPluginEnablement.appex/Contents/MacOS/LegacyPluginEnablement
developer         1303   0.0  0.1 426884320   4464   ??  Ss    8:10PM   0:00.07 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
developer         1301   0.0  0.3 411087984  19744   ??  Ss    8:10PM   0:04.68 /System/Library/ExtensionKit/Extensions/LoginItems.appex/Contents/MacOS/LoginItems
developer         1297   0.0  0.2 426969728  11600   ??  S     8:10PM   0:00.83 /usr/libexec/studentd
developer         1296   0.0  0.1 426883456   3920   ??  S     8:10PM   0:00.03 /System/Library/PrivateFrameworks/CoreFollowUp.framework/Versions/A/Support/followupd
developer         1295   0.0  0.2 410826096  12368   ??  Ss    8:10PM   0:00.24 /System/Library/ExtensionKit/Extensions/ClassroomSettings.appex/Contents/MacOS/ClassroomSettings
developer         1294   0.0  0.2 410826528  11632   ??  Ss    8:10PM   0:00.19 /System/Library/ExtensionKit/Extensions/FollowUpSettingsExtension.appex/Contents/MacOS/FollowUpSettingsExtension
developer         1293   0.0  0.2 410825040  11600   ??  Ss    8:10PM   0:00.21 /System/Library/ExtensionKit/Extensions/VPN.appex/Contents/MacOS/VPN
developer         1292   0.0  0.2 410826720  11984   ??  Ss    8:10PM   0:00.23 /System/Library/ExtensionKit/Extensions/HeadphoneSettingsExtension.appex/Contents/MacOS/HeadphoneSettingsExtension
developer         1291   0.0  0.2 410826304  12896   ??  Ss    8:10PM   0:00.25 /System/Library/ExtensionKit/Extensions/FamilySettings.appex/Contents/MacOS/FamilySettings
developer         1289   0.0  0.2 410993600  13728   ??  Ss    8:10PM   0:00.70 /System/Library/ExtensionKit/Extensions/AppleIDSettings.appex/Contents/MacOS/AppleIDSettings
developer         1288   0.0  0.3 411039136  18688   ??  Ss    8:10PM   0:01.24 /System/Applications/System Settings.app/Contents/PlugIns/GeneralSettings.appex/Contents/MacOS/GeneralSettings
developer         1287   0.0  0.1 426893744   6064   ??  Ss    8:10PM   0:00.09 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
developer         1286   0.0  0.3 411487904  18256   ??  S     8:10PM   0:06.22 /System/Applications/System Settings.app/Contents/MacOS/System Settings
developer         1285   0.0  0.2 426960480  12896   ??  Ss    8:10PM   0:00.43 /System/Library/ExtensionKit/Extensions/TextThumbnailExtension.appex/Contents/MacOS/TextThumbnailExtension
developer         1284   0.0  0.0 410130656   1728   ??  Ss    8:10PM   0:00.03 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
root              1255   0.0  0.0 426879312   1536   ??  Ss    8:09PM   0:00.17 /usr/libexec/sysmond
root              1237   0.0  0.1 426883856   4800   ??  Ss    8:09PM   0:00.04 /usr/libexec/keybagd -t 15
root              1235   0.0  0.1 426918656   3984   ??  Ss    8:09PM   0:00.07 /usr/libexec/rtcreportingd
root              1234   0.0  0.0 410261664   1904   ??  Ss    8:09PM   0:00.03 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
root              1233   0.0  0.0 426883792   3104   ??  Ss    8:09PM   0:00.04 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar -daemon
root              1232   0.0  0.1 426918016   9184   ??  Ss    8:09PM   0:00.35 /usr/libexec/audioanalyticsd
root              1231   0.0  0.1 426932720   9280   ??  Ss    8:09PM   0:00.46 /usr/sbin/systemsoundserverd
root              1213   0.0  0.0 426880080   1856   ??  Ss    8:09PM   0:00.03 /System/Library/CoreServices/ReportCrash daemon
root              1212   0.0  0.1 426917632   4400   ??  Ss    8:09PM   0:07.60 /System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A/XPCServices/XprotectService.xpc/Contents/MacOS/XprotectService
root              1210   0.0  0.0 426883184   3056   ??  S     8:09PM   0:00.02 /System/Library/PrivateFrameworks/PackageKit.framework/Versions/A/XPCServices/package_script_service.xpc/Contents/MacOS/package_script_service
root              1207   0.0  0.1 426919536   5984   ??  Ss    8:09PM   0:00.12 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/installd
developer         1202   0.0  0.0 426917328   2800   ??  S     8:08PM   0:00.02 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdwrite
developer         1193   0.0  0.0 426883776   2384   ??  S     8:08PM   0:00.05 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/DictionaryServices.framework/Versions/A/XPCServices/com.apple.DictionaryServiceHelper.xpc/Contents/MacOS/com.apple.DictionaryServiceHelper
developer         1176   0.0  0.2 426952352  10960   ??  S     8:08PM   0:00.62 /System/Library/PrivateFrameworks/PaperKit.framework/Contents/LinkedNotesUIService.app/Contents/MacOS/LinkedNotesUIService
root              1173   0.0  0.1 426924336   7040   ??  Ss    8:08PM   0:00.42 /System/Library/PrivateFrameworks/TVIdleServices.framework/idleassetsd
developer         1172   0.0  1.3 411916704  83152   ??  S     8:08PM   0:47.09 /Applications/Wireshark.app/Contents/MacOS/Wireshark
developer         1171   0.0  0.0 410130656   1728   ??  Ss    8:08PM   0:00.02 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
developer         1169   0.0  0.0 426953584   2992   ??  Ss    8:08PM   0:00.22 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
developer         1170   0.0  0.0 426953584   2992   ??  Ss    8:08PM   0:00.45 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
developer         1168   0.0  0.1 426924688   7760   ??  S     8:08PM   0:00.80 /usr/libexec/replayd
developer         1167   0.0  0.1 426928768   4992   ??  Ss    8:08PM   0:00.15 /System/Library/ExtensionKit/Extensions/PackageThumbnailExtension.appex/Contents/MacOS/PackageThumbnailExtension
developer         1166   0.0  0.1 426893680   5664   ??  Ss    8:08PM   0:00.24 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
developer         1162   0.0  0.1 412339984   7104   ??  S     8:08PM   0:00.20 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/managedcorespotlightd
developer         1161   0.0  0.1 426918080   5936   ??  S     8:08PM   0:00.33 /System/Library/PrivateFrameworks/ContinuousDialogManagerService.framework/assistant_cdmd
