2025-07-21 17:41:21 status half-installed gpgv:amd64 2.2.40-1.1
2025-07-21 17:41:21 status unpacked gpgv:amd64 2.2.40-1.1
2025-07-21 17:41:21 install liblz4-1:amd64 <none> 1.9.4-1
2025-07-21 17:41:21 status half-installed liblz4-1:amd64 1.9.4-1
2025-07-21 17:41:21 status unpacked liblz4-1:amd64 1.9.4-1
2025-07-21 17:41:21 install liblzma5:amd64 <none> 5.4.1-1
2025-07-21 17:41:21 status half-installed liblzma5:amd64 5.4.1-1
2025-07-21 17:41:21 status unpacked liblzma5:amd64 5.4.1-1
2025-07-21 17:41:21 install libcap2:amd64 <none> 1:2.66-4+deb12u1
2025-07-21 17:41:21 status half-installed libcap2:amd64 1:2.66-4+deb12u1
2025-07-21 17:41:21 status unpacked libcap2:amd64 1:2.66-4+deb12u1
2025-07-21 17:41:21 install libapt-pkg6.0:amd64 <none> 2.6.1
2025-07-21 17:41:21 status half-installed libapt-pkg6.0:amd64 2.6.1
2025-07-21 17:41:21 status unpacked libapt-pkg6.0:amd64 2.6.1
2025-07-21 17:41:21 install debian-archive-keyring:all <none> 2023.3+deb12u2
2025-07-21 17:41:21 status half-installed debian-archive-keyring:all 2023.3+deb12u2
2025-07-21 17:41:22 status unpacked debian-archive-keyring:all 2023.3+deb12u2
2025-07-21 17:41:22 install libgmp10:amd64 <none> 2:6.2.1+dfsg1-1.1
2025-07-21 17:41:22 status half-installed libgmp10:amd64 2:6.2.1+dfsg1-1.1
2025-07-21 17:41:22 status unpacked libgmp10:amd64 2:6.2.1+dfsg1-1.1
2025-07-21 17:41:22 install libnettle8:amd64 <none> 3.8.1-2
2025-07-21 17:41:22 status half-installed libnettle8:amd64 3.8.1-2
2025-07-21 17:41:22 status unpacked libnettle8:amd64 3.8.1-2
2025-07-21 17:41:22 install libhogweed6:amd64 <none> 3.8.1-2
2025-07-21 17:41:22 status half-installed libhogweed6:amd64 3.8.1-2
2025-07-21 17:41:22 status unpacked libhogweed6:amd64 3.8.1-2
2025-07-21 17:41:22 install libffi8:amd64 <none> 3.4.4-1
2025-07-21 17:41:22 status half-installed libffi8:amd64 3.4.4-1
2025-07-21 17:41:22 status unpacked libffi8:amd64 3.4.4-1
2025-07-21 17:41:22 install libp11-kit0:amd64 <none> 0.24.1-2
2025-07-21 17:41:22 status half-installed libp11-kit0:amd64 0.24.1-2
2025-07-21 17:41:22 status unpacked libp11-kit0:amd64 0.24.1-2
2025-07-21 17:41:22 install libgnutls30:amd64 <none> 3.7.9-2+deb12u4
2025-07-21 17:41:22 status half-installed libgnutls30:amd64 3.7.9-2+deb12u4
2025-07-21 17:41:22 status unpacked libgnutls30:amd64 3.7.9-2+deb12u4
2025-07-21 17:41:22 install apt:amd64 <none> 2.6.1
2025-07-21 17:41:22 status half-installed apt:amd64 2.6.1
2025-07-21 17:41:22 status unpacked apt:amd64 2.6.1
2025-07-21 17:41:22 install libdb5.3:amd64 <none> 5.3.28+dfsg2-1
2025-07-21 17:41:22 status half-installed libdb5.3:amd64 5.3.28+dfsg2-1
2025-07-21 17:41:22 status unpacked libdb5.3:amd64 5.3.28+dfsg2-1
2025-07-21 17:41:22 install libmd0:amd64 <none> 1.0.4-2
2025-07-21 17:41:22 status half-installed libmd0:amd64 1.0.4-2
2025-07-21 17:41:22 status unpacked libmd0:amd64 1.0.4-2
2025-07-21 17:41:22 install libpcre2-8-0:amd64 <none> 10.42-1
2025-07-21 17:41:22 status half-installed libpcre2-8-0:amd64 10.42-1
2025-07-21 17:41:22 status unpacked libpcre2-8-0:amd64 10.42-1
2025-07-21 17:41:22 install libacl1:amd64 <none> 2.3.1-3
2025-07-21 17:41:22 status half-installed libacl1:amd64 2.3.1-3
2025-07-21 17:41:22 status unpacked libacl1:amd64 2.3.1-3
2025-07-21 17:41:22 upgrade dpkg:amd64 1.21.22 1.21.22
2025-07-21 17:41:22 status half-configured dpkg:amd64 1.21.22
2025-07-21 17:41:22 status unpacked dpkg:amd64 1.21.22
2025-07-21 17:41:22 status half-installed dpkg:amd64 1.21.22
2025-07-21 17:41:22 status unpacked dpkg:amd64 1.21.22
2025-07-21 17:41:22 upgrade debconf:all 1.5.82 1.5.82
2025-07-21 17:41:22 status half-configured debconf:all 1.5.82
2025-07-21 17:41:22 status unpacked debconf:all 1.5.82
2025-07-21 17:41:22 status half-installed debconf:all 1.5.82
2025-07-21 17:41:22 status unpacked debconf:all 1.5.82
2025-07-21 17:41:22 install libpam0g:amd64 <none> 1.5.2-6+deb12u1
2025-07-21 17:41:22 status half-installed libpam0g:amd64 1.5.2-6+deb12u1
2025-07-21 17:41:23 status unpacked libpam0g:amd64 1.5.2-6+deb12u1
2025-07-21 17:41:23 install libpam-modules-bin:amd64 <none> 1.5.2-6+deb12u1
