RunTime,ExecutableName
2025-07-08 17:18:09,\VOLUME{01da6ccaad22ad19-96ad979b}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-07-09 16:13:07,\VOLUME{01da6ccaad22ad19-96ad979b}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-07-09 15:00:42,\VOLUME{01da6ccaad22ad19-96ad979b}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-07-09 16:13:07,\VOLUME{01da6ccaad22ad19-96ad979b}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-07-09 15:24:19,\VOLUME{01da6ccaad22ad19-96ad979b}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-07-09 15:00:42,\VOLUME{01da6ccaad22ad19-96ad979b}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-07-09 15:00:40,\VOLUME{01da6ccaad22ad19-96ad979b}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-07-09 16:13:07,\VOLUME{01da6ccaad22ad19-96ad979b}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-07-08 17:18:09,\VOLUME{01da6ccaad22ad19-96ad979b}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-07-09 16:13:07,\VOLUME{01da6ccaad22ad19-96ad979b}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-07-09 15:49:06,\VOLUME{01da6ccaad22ad19-96ad979b}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-07-09 15:49:06,\VOLUME{01da6ccaad22ad19-96ad979b}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-07-09 16:13:07,\VOLUME{01da6ccaad22ad19-96ad979b}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-07-09 15:00:42,\VOLUME{01da6ccaad22ad19-96ad979b}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-07-09 15:00:42,\VOLUME{01da6ccaad22ad19-96ad979b}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-07-08 20:04:54,\VOLUME{01da6ccaad22ad19-96ad979b}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-07-08 17:21:51,\VOLUME{01da6ccaad22ad19-96ad979b}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2025-07-09 16:45:42,\VOLUME{01da6ccaad22ad19-96ad979b}\WINDOWS\SYSTEM32\BACKGROUNDTRANSFERHOST.EXE
2025-07-08 19:56:49,\VOLUME{01da6ccaad22ad19-96ad979b}\USERS\CLIENT\DOWNLOADS\DIST\CALCULADORA.EXE
2025-07-08 19:56:48,\VOLUME{01da6ccaad22ad19-96ad979b}\USERS\CLIENT\DOWNLOADS\DIST\CALCULADORA.EXE
2025-07-08 19:39:17,\VOLUME{01da6ccaad22ad19-96ad979b}\USERS\CLIENT\DOWNLOADS\DIST\CALCULADORA.EXE
2025-07-08 19:39:15,\VOLUME{01da6ccaad22ad19-96ad979b}\USERS\CLIENT\DOWNLOADS\DIST\CALCULADORA.EXE
2025-07-08 19:17:51,\VOLUME{01da6ccaad22ad19-96ad979b}\USERS\CLIENT\DOWNLOADS\DIST\CALCULADORA.EXE
2025-07-08 19:17:49,\VOLUME{01da6ccaad22ad19-96ad979b}\USERS\CLIENT\DOWNLOADS\DIST\CALCULADORA.EXE
2025-07-08 19:02:59,\VOLUME{01da6ccaad22ad19-96ad979b}\USERS\CLIENT\DOWNLOADS\DIST\CALCULADORA.EXE
2025-07-08 19:03:02,\VOLUME{01da6ccaad22ad19-96ad979b}\USERS\CLIENT\DOWNLOADS\DIST\CALCULADORA.EXE
2025-07-09 17:08:06,\VOLUME{01da6ccaad22ad19-96ad979b}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2025-07-09 14:59:29,\VOLUME{01da6ccaad22ad19-96ad979b}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2025-07-08 15:24:28,\VOLUME{01da6ccaad22ad19-96ad979b}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2025-07-08 14:18:27,\VOLUME{01da6ccaad22ad19-96ad979b}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2025-01-31 13:59:46,\VOLUME{01da6ccaad22ad19-96ad979b}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2025-01-31 13:40:17,\VOLUME{01da6ccaad22ad19-96ad979b}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2024-04-16 16:53:45,\VOLUME{01da6ccaad22ad19-96ad979b}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2024-04-12 13:33:18,\VOLUME{01da6ccaad22ad19-96ad979b}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2025-07-09 17:17:03,\VOLUME{01da6ccaad22ad19-96ad979b}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2025-07-09 17:08:22,\VOLUME{01da6ccaad22ad19-96ad979b}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2025-07-09 17:08:17,\VOLUME{01da6ccaad22ad19-96ad979b}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2025-07-09 17:08:17,\VOLUME{01da6ccaad22ad19-96ad979b}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2025-07-09 15:28:10,\VOLUME{01da6ccaad22ad19-96ad979b}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2025-07-09 15:21:41,\VOLUME{01da6ccaad22ad19-96ad979b}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2025-07-09 15:01:43,\VOLUME{01da6ccaad22ad19-96ad979b}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2025-07-09 15:01:41,\VOLUME{01da6ccaad22ad19-96ad979b}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2025-07-09 17:08:15,\VOLUME{01da6ccaad22ad19-96ad979b}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2025-07-09 14:59:46,\VOLUME{01da6ccaad22ad19-96ad979b}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2025-07-09 17:08:15,\VOLUME{01da6ccaad22ad19-96ad979b}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2025-07-09 14:59:46,\VOLUME{01da6ccaad22ad19-96ad979b}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2025-07-09 17:08:06,\VOLUME{01da6ccaad22ad19-96ad979b}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2025-07-09 14:59:31,\VOLUME{01da6ccaad22ad19-96ad979b}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2025-07-09 17:19:32,\VOLUME{01da6ccaad22ad19-96ad979b}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2025-07-09 17:17:18,\VOLUME{01da6ccaad22ad19-96ad979b}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2025-07-09 17:08:16,\VOLUME{01da6ccaad22ad19-96ad979b}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2025-07-09 15:34:33,\VOLUME{01da6ccaad22ad19-96ad979b}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2025-07-09 15:06:53,\VOLUME{01da6ccaad22ad19-96ad979b}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2025-07-09 15:06:50,\VOLUME{01da6ccaad22ad19-96ad979b}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2025-07-09 15:06:32,\VOLUME{01da6ccaad22ad19-96ad979b}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2025-07-09 15:02:45,\VOLUME{01da6ccaad22ad19-96ad979b}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2025-07-09 17:20:10,\VOLUME{01da6ccaad22ad19-96ad979b}\WINDOWS\SYSTEM32\CMD.EXE
2025-07-09 17:11:29,\VOLUME{01da6ccaad22ad19-96ad979b}\WINDOWS\SYSTEM32\CMD.EXE
2025-07-09 15:58:09,\VOLUME{01da6ccaad22ad19-96ad979b}\WINDOWS\SYSTEM32\CMD.EXE
2025-07-08 20:25:32,\VOLUME{01da6ccaad22ad19-96ad979b}\WINDOWS\SYSTEM32\CMD.EXE
2025-07-08 20:20:51,\VOLUME{01da6ccaad22ad19-96ad979b}\WINDOWS\SYSTEM32\CMD.EXE
2025-07-08 20:10:34,\VOLUME{01da6ccaad22ad19-96ad979b}\WINDOWS\SYSTEM32\CMD.EXE
2025-07-08 20:05:36,\VOLUME{01da6ccaad22ad19-96ad979b}\WINDOWS\SYSTEM32\CMD.EXE
2025-07-08 20:05:35,\VOLUME{01da6ccaad22ad19-96ad979b}\WINDOWS\SYSTEM32\CMD.EXE
2025-07-08 19:28:44,\VOLUME{01da6ccaad22ad19-96ad979b}\WINDOWS\SYSTEM32\COMPATTELRUNNER.EXE
2025-07-08 15:32:32,\VOLUME{01da6ccaad22ad19-96ad979b}\WINDOWS\SYSTEM32\COMPATTELRUNNER.EXE
