USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           2  0.0  0.0      0     0 ?        S    08:16   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        I<   08:16   0:00  \_ [rcu_gp]
root           4  0.0  0.0      0     0 ?        I<   08:16   0:00  \_ [rcu_par_gp]
root           5  0.0  0.0      0     0 ?        I<   08:16   0:00  \_ [slub_flushwq]
root           6  0.0  0.0      0     0 ?        I<   08:16   0:00  \_ [netns]
root          10  0.0  0.0      0     0 ?        I<   08:16   0:00  \_ [mm_percpu_wq]
root          11  0.0  0.0      0     0 ?        I    08:16   0:00  \_ [rcu_tasks_kthread]
root          12  0.0  0.0      0     0 ?        I    08:16   0:00  \_ [rcu_tasks_rude_kthread]
root          13  0.0  0.0      0     0 ?        I    08:16   0:00  \_ [rcu_tasks_trace_kthread]
root          14  0.0  0.0      0     0 ?        S    08:16   0:00  \_ [ksoftirqd/0]
root          15  0.0  0.0      0     0 ?        I    08:16   0:01  \_ [rcu_preempt]
root          16  0.0  0.0      0     0 ?        S    08:16   0:00  \_ [migration/0]
root          18  0.0  0.0      0     0 ?        S    08:16   0:00  \_ [cpuhp/0]
root          20  0.0  0.0      0     0 ?        S    08:16   0:00  \_ [kdevtmpfs]
root          21  0.0  0.0      0     0 ?        I<   08:16   0:00  \_ [inet_frag_wq]
root          22  0.0  0.0      0     0 ?        S    08:16   0:00  \_ [kauditd]
root          24  0.0  0.0      0     0 ?        S    08:16   0:00  \_ [khungtaskd]
root          25  0.0  0.0      0     0 ?        S    08:16   0:00  \_ [oom_reaper]
root          28  0.0  0.0      0     0 ?        I<   08:16   0:00  \_ [writeback]
root          29  0.0  0.0      0     0 ?        S    08:16   0:02  \_ [kcompactd0]
root          30  0.0  0.0      0     0 ?        SN   08:16   0:00  \_ [ksmd]
root          31  0.0  0.0      0     0 ?        SN   08:16   0:00  \_ [khugepaged]
root          32  0.0  0.0      0     0 ?        I<   08:16   0:00  \_ [kintegrityd]
root          33  0.0  0.0      0     0 ?        I<   08:16   0:00  \_ [kblockd]
root          34  0.0  0.0      0     0 ?        I<   08:16   0:00  \_ [blkcg_punt_bio]
root          35  0.0  0.0      0     0 ?        I<   08:16   0:00  \_ [tpm_dev_wq]
root          36  0.0  0.0      0     0 ?        I<   08:16   0:00  \_ [edac-poller]
root          37  0.0  0.0      0     0 ?        I<   08:16   0:00  \_ [devfreq_wq]
root          38  0.0  0.0      0     0 ?        I<   08:16   0:02  \_ [kworker/0:1H-kblockd]
root          39  0.0  0.0      0     0 ?        S    08:16   0:00  \_ [kswapd0]
